epoch,co2,temp,humid,count
1759215957,635,20.17739,82.96941,0
1759215987,636,20.23079,83.93835,0
1759216017,636,20.3109,85.21706,0
1759216047,638,20.44175,85.51766,0
1759216077,632,20.52453,85.85794,0
1759216107,625,20.64202,86.08224,0
1759216137,623,20.76219,86.19363,0
1759216167,622,20.80758,86.20584,0
1759216197,623,20.88769,86.40726,0
1759216227,626,21.00252,86.36912,0
1759216257,627,21.05325,86.41947,0
1759216287,630,21.12802,86.55985,0
1759216317,631,21.17342,86.29282,0
1759216347,630,20.92241,85.10109,0
1759216377,635,20.71145,84.57313,0
1759216407,636,20.66873,84.29389,0
1759216437,629,20.55924,83.97498,0
1759216467,627,20.39635,83.83917,0
1759216497,625,20.24949,83.63622,0
1759216527,627,20.21477,83.47601,0
1759216557,622,20.2388,84.32441,0
1759216587,617,20.39368,85.21706,0
1759216617,615,20.47913,85.50393,0
1759216647,614,20.56726,85.87167,0
1759216677,619,20.70878,86.12344,0
1759216707,622,20.7702,86.15549,0
1759216737,616,20.83429,86.29435,0
1759216767,615,20.95178,86.26536,0
1759216797,618,21.03189,86.21042,0
1759216827,619,21.10132,86.32182,0
1759216857,619,21.18677,86.40116,0
1759216887,617,21.09865,85.76944,0
1759216917,615,20.87167,84.74403,0
1759216947,612,20.69009,84.34577,0
1759216977,614,20.56993,84.06805,0
1759217007,613,20.40169,83.9704,0
1759217037,605,20.34829,83.81171,0
1759217067,605,20.30289,83.5935,0
1759217097,600,20.12932,83.20897,0
1759217127,606,20.18273,84.21301,0
1759217157,601,20.3296,85.20485,0
1759217187,604,20.39902,85.64736,0
1759217217,604,20.48714,85.8732,0
1759217247,604,20.60998,86.0502,0
1759217277,603,20.71145,86.1326,0
1759217307,604,20.81293,86.16922,0
1759217337,604,20.86366,86.23026,0
1759217367,600,20.93843,86.2211,0
1759217397,597,21.04524,86.23331,0
1759217427,597,21.13603,86.17075,0
1759217457,594,21.05592,85.59396,0
1759217487,595,20.78088,84.55177,0
1759217517,596,20.68475,84.19623,0
1759217547,596,20.53521,83.81323,0
1759217577,599,20.36431,83.69115,0
1759217607,600,20.39635,83.58434,0
1759217637,596,20.33494,83.39666,0
1759217667,589,20.15602,83.17235,0
1759217697,582,20.09728,83.02434,0
1759217727,584,20.07324,83.04875,0
1759217757,583,20.18273,84.37171,0
1759217787,585,20.31624,85.0248,0
1759217817,585,20.4097,85.57259,0
1759217847,587,20.49249,85.88083,0
1759217877,591,20.63134,86.02426,0
1759217907,592,20.75151,86.08224,0
1759217937,591,20.80491,86.26078,0
1759217967,589,20.92508,86.26231,0
1759217997,586,20.99451,86.32182,0
1759218027,578,21.07195,86.40726,0
1759218057,580,21.19211,86.47135,0
1759218087,579,21.18944,86.2501,0
1759218117,579,20.87167,84.96071,0
1759218147,575,20.70878,84.44343,0
1759218177,576,20.62333,84.20081,0
1759218207,578,20.46845,83.88495,0
1759218237,574,20.30556,83.74761,0
1759218267,572,20.19608,83.50957,0
1759218297,570,20.10796,83.70641,0
1759218327,574,20.25216,84.94392,0
1759218357,571,20.34829,85.49325,0
1759218387,569,20.47646,85.9144,0
1759218417,569,20.60998,86.09445,0
1759218447,572,20.73281,86.09445,0
1759218477,571,20.81025,86.3447,0
1759218507,564,20.89837,86.33555,0
1759218537,568,20.97849,86.36454,0
1759218567,573,21.08263,86.4744,0
1759218597,577,21.13336,86.57664,0
1759218627,579,21.18143,86.34165,0
1759218657,583,20.95979,85.21706,0
1759218687,582,20.77554,84.51057,0
1759218717,574,20.63134,84.32746,0
1759218747,572,20.54322,84.06195,0
1759218777,570,20.48447,83.83154,0
1759218809,567,20.35363,83.60876,0
1759218839,559,20.20409,83.28069,0
1759218869,559,20.26551,84.06195,0
1759218899,557,20.34829,85.09193,0
1759218929,560,20.46311,85.67941,0
1759218959,561,20.5726,86.03342,0
1759218989,560,20.67674,86.11276,0
1759219019,561,20.78355,86.3737,0
1759219049,561,20.85298,86.37827,0
1759219079,564,20.91707,86.3325,0
1759219109,564,21.00252,86.43473,0
1759219139,561,21.09064,86.47898,0
1759219169,562,21.15473,86.46525,0
1759219199,554,21.15473,86.43473,0
1759219229,557,21.02121,85.41238,0
1759219259,557,20.85031,84.64942,0
1759219289,553,20.64736,84.35035,0
1759219319,551,20.5539,84.11078,0
1759219349,549,20.46044,84.06805,0
1759219379,553,20.4284,83.61028,0
1759219409,554,20.36164,83.33715,0
1759219439,550,20.29488,83.18456,0
1759219469,547,20.35897,84.21759,0
1759219499,542,20.46311,85.19417,0
1759219529,545,20.52453,85.59396,0
1759219559,544,20.62066,85.85641,0
1759219589,539,20.74083,86.03494,0
1759219619,540,20.80491,86.15244,0
1759219649,541,20.89303,86.17685,0
1759219679,543,20.98383,86.40421,0
1759219709,543,21.06928,86.43015,0
1759219739,548,21.10132,86.51408,0
1759219769,550,21.18944,86.62241,0
1759219799,553,21.11734,85.8732,0
1759220039,534,20.04921,82.85802,0
1759220069,530,20.08393,84.02533,0
1759220099,526,20.26284,84.99275,0
1759220129,528,20.34295,85.47494,0
1759220159,529,20.50584,85.77249,0
1759220189,530,20.59396,85.89761,0
1759220219,537,20.69543,86.1326,0
1759220249,533,20.80491,86.186,0
1759220279,538,20.88769,86.26688,0
1759220309,536,20.96246,86.36607,0
1759220339,531,21.07729,86.38132,0
1759220369,529,21.14672,86.36454,0
1759220399,527,21.04257,85.84879,0
1759220429,526,20.83429,84.62653,0
1759220459,528,20.6714,84.16113,0
1759220489,521,20.54589,83.86206,0
1759220519,522,20.42306,83.90173,0
1759220549,521,20.32693,83.63622,0
1759220579,524,20.26017,83.4165,0
1759220609,521,20.1854,83.05486,0
1759220639,516,20.19608,83.92462,0
1759220669,523,20.3296,85.12703,0
1759220699,527,20.42573,85.47341,0
1759220729,524,20.54055,85.64889,0
1759220759,528,20.63134,86.02426,0
1759220789,525,20.73816,86.04715,0
1759220819,529,20.82361,86.009,0
1759220849,532,20.87167,86.14938,0
1759220879,528,21.00519,86.13107,0
1759220909,528,21.06661,86.186,0
1759220939,525,21.14404,86.186,0
1759220969,526,21.04257,85.57107,0
1759220999,522,20.82094,84.54871,0
1759221029,522,20.56726,84.03601,0
1759221059,523,20.4818,83.84528,0
1759221089,520,20.44175,83.80255,0
1759221119,522,20.31624,83.50805,0
1759221149,518,20.25216,83.34325,0
1759221179,518,20.20142,83.05791,0
1759221209,512,20.05188,83.03807,0
1759221239,508,20.1667,84.44801,0
1759221269,510,20.26284,85.2491,0
1759221299,512,20.39635,85.626,0
1759221329,509,20.51919,85.93881,0
1759221359,507,20.61799,85.99069,0
