time,co2,temp,humid,count
1759156242,949,19.43771,83.32342,7
1759156272,971,19.09056,83.74609,7
1759156302,966,18.90364,83.99023,7
1759156332,967,18.92767,83.99023,7
1759156362,970,19.02113,84.04822,7
1759156392,970,19.50446,84.45716,7
1759156422,974,19.95308,84.55939,7
1759156452,967,20.23613,84.3595,7
1759156482,968,20.44175,84.1886,7
1759156512,968,20.65804,84.02686,7
1759156542,971,20.81827,83.79187,7
1759156572,974,20.94377,83.72015,7
1759156602,977,21.01053,83.77966,7
1759156632,973,21.07996,83.70794,7
1759156662,974,21.06126,83.54772,7
1759156692,974,20.57794,82.80003,7
1759156722,977,19.94774,82.88853,7
1759156752,971,19.70474,83.25018,7
1759156782,969,19.46174,83.4287,7
1759156812,971,19.168,83.64538,7
1759156842,968,18.99176,83.71404,8
1759156872,977,18.81285,83.95209,8
1759156902,984,18.92233,83.99176,8
1759156932,985,18.9971,83.75983,8
1759156962,982,19.37095,84.18402,8
1759156992,987,19.78485,84.34425,8
1759157022,986,20.13733,84.13977,8
1759157052,984,20.37232,83.93225,8
1759157082,988,20.59663,83.71099,8
1759157112,993,20.73549,83.57824,8
1759157142,993,20.77287,83.74151,8
1759157172,993,20.9144,83.7583,8
1759157202,990,20.97849,83.65759,8
1759157232,992,21.12802,83.58587,8
1759157262,990,21.18143,83.70641,8
1759157292,996,20.96246,83.23643,8
1759157322,1002,20.28153,82.56657,8
1759157352,999,19.69139,82.89769,8
1759157382,996,19.52583,83.16014,8
1759157412,998,19.43771,83.46532,8
1759157442,1010,19.31754,83.3402,8
1759157472,1014,19.22141,83.23643,8
1759157502,1012,19.19738,83.09453,8
1759157532,1015,19.55787,83.73693,8
1759157562,1023,19.9424,83.84833,8
1759157592,1022,20.28687,83.56908,8
1759157622,1021,20.51652,83.47143,8
1759157652,1027,20.70611,83.2227,8
1759157682,1026,20.82895,83.22118,8
1759157712,1026,20.88769,83.33105,8
1759157742,1028,21.02655,83.299,8
1759157772,1031,21.13603,83.17693,8
1759157802,1038,21.23484,83.12505,8
1759157832,1045,20.78355,82.30106,8
1759157862,1059,20.13199,82.39719,8
1759157892,1059,19.8436,82.41703,8
1759157922,1062,19.56321,82.41856,8
1759157952,1062,19.31487,82.79851,8
1759157982,1057,19.1413,82.99077,8
1759158012,1047,19.10925,82.89922,8
1759158042,1046,19.05051,82.89159,8
1759158072,1049,19.44839,83.43481,6
1759158102,1048,19.94774,83.59502,6
1759158132,1056,20.23079,83.41192,6
1759158162,1062,20.50584,83.37835,6
1759158192,1064,20.75418,83.1754,6
1759158222,1065,20.86099,83.13878,2
1759158252,1068,20.98116,83.20439,2
1759158282,1072,21.07462,83.21965,2
1759158312,1071,21.12802,83.13878,2
1759158342,1070,21.22149,83.04723,2
1759158372,1068,20.78622,82.06149,2
1759158402,1056,20.2842,81.84024,2
1759158432,1043,19.95308,82.27207,2
1759158462,1050,19.57656,82.55131,2
1759158492,1071,19.34424,82.83055,2
1759158522,1065,19.168,82.91753,2
1759158552,1065,19.01846,83.0396,2
1759158582,1061,18.91432,83.08842,2
1759158612,1057,18.88762,83.0045,2
1759158642,1060,19.29885,83.43328,3
1759158672,1060,19.76883,83.73235,3
1759158702,1061,20.05722,83.66827,3
1759158732,1059,20.37766,83.48363,4
1759158762,1061,20.52987,83.56298,4
1759158792,1055,20.69543,83.43633,4
1759158822,1054,20.82895,83.29748,4
1759158852,1060,20.88769,83.39513,4
1759158882,1065,20.97849,83.34631,4
1759158912,1063,21.07195,83.46685,4
1759158942,1061,21.09064,83.10368,4
1759158972,1064,20.43908,82.18661,4
1759159002,1065,19.85428,82.29801,4
1759159032,1070,19.61662,82.69321,4
1759159062,1060,19.39231,83.00755,4
1759159092,1045,19.17067,83.19066,4
1759159122,1033,18.98108,83.20134,4
1759159152,1039,18.90631,83.35851,4
1759159182,1049,18.88762,83.19829,4
1759159212,1057,19.02647,83.31121,4
1759159242,1052,19.5098,83.85748,4
1759159272,1047,19.84627,83.8819,4
1759159302,1044,20.13466,83.52178,3
1759159332,1036,20.39635,83.58434,3
1759159362,1034,20.5539,83.69268,3
1759159392,1038,20.71145,83.40582,3
1759159422,1041,20.84764,83.23338,3
1759159452,1044,20.92775,83.32952,3
1759159482,1045,21.00786,83.20134,3
1759159512,1046,21.09064,83.26391,3
1759159542,1045,21.09331,83.07011,3
1759159572,1050,20.60998,82.31174,3
1759159602,1048,19.93706,82.25681,3
1759159632,1056,19.60594,82.65202,3
1759159662,1058,19.33623,82.91753,3
1759159692,1057,19.13596,83.26849,3
1759159722,1063,18.9971,83.41039,3
1759159752,1064,18.8983,83.25323,3
1759159782,1059,18.90097,83.07164,3
1759159812,1056,19.20005,83.85443,3
1759159842,1052,19.67269,83.88037,3
1759159872,1045,19.9958,83.76135,3
1759159902,1043,20.30022,83.55077,3
1759159932,1043,20.46311,83.53551,3
1759159962,1044,20.65804,83.3814,3
1759159992,1044,20.74884,83.32037,3
1759160022,1042,20.85031,83.28527,3
1759160052,1047,20.98116,83.18303,3
1759160082,1044,21.05859,83.12047,3
1759160112,1041,21.03723,83.01366,3
1759160142,1039,20.51385,82.14999,3
1759160172,1040,19.9424,82.28886,3
1759160202,1040,19.68337,82.63676,3
1759160232,1044,19.40032,82.93279,3
1759160262,1031,19.2134,83.1693,3
1759160292,1029,19.04784,83.19218,3
1759160322,1040,18.95171,83.23949,3
1759160352,1052,18.87427,83.19218,7
1759160382,1051,19.25879,84.1535,7
1759160412,1041,19.77684,84.30305,7
1759160442,1040,20.10262,84.0589,7
1759160472,1035,20.43908,84.05737,8
1759160502,1041,20.66606,83.93378,8
1759160532,1041,20.82361,83.97192,8
1759160562,1047,20.93042,83.86816,8
1759160591,1047,20.96513,83.86969,8
1759160621,1050,21.04257,83.78271,8
1759160651,1054,21.09598,83.6881,8
1759160681,1049,20.46311,82.84886,8
1759160711,1047,19.86763,82.98924,8
1759160741,1057,19.56321,83.23338,8
1759160771,1061,19.33623,83.53094,8
1759160801,1063,19.15465,83.77203,8
1759160831,1058,19.01312,83.96735,8
1759160861,1062,18.92233,83.89563,8
1759160891,1067,18.87694,83.94293,8
1759160921,1072,18.79416,83.77966,8
1759160951,1080,18.97307,83.86816,8
1759160981,1086,19.5098,84.25422,8
1759161011,1095,19.92904,84.17639,8
1759161041,1094,20.25483,83.70031,8
1759161071,1096,20.48981,83.47601,8
1759161101,1094,20.63668,83.53551,8
1759161131,1094,20.79423,83.71862,8
1759161161,1098,20.87701,83.83307,8
1759161191,1101,21.01587,83.77661,8
1759161221,1103,21.09598,83.70947,8
1759161251,1104,20.82361,83.12657,8
1759161281,1108,20.06523,82.60014,8
1759161311,1101,19.64332,82.78477,8
1759161341,1101,19.34691,83.20744,8
1759161371,1111,19.14664,83.54925,8
1759161401,1111,19.08789,83.54467,8
1759161431,1114,18.98909,83.59502,8
1759161461,1105,18.90097,83.55535,8
1759161491,1107,18.81018,83.34478,8
1759161521,1106,19.27214,83.96887,8
1759161551,1109,19.80354,84.10315,8
1759161581,1106,20.13466,83.72472,8
1759161611,1104,20.44175,83.34783,8
1759161641,1104,20.59129,83.31884,8
1759161671,1102,20.72747,83.12505,8
1759161701,1101,20.83429,83.30511,8
1759161732,1109,20.96246,83.34325,8
1759161762,1109,21.09598,83.33715,8
1759161792,1112,20.89036,82.85344,8
1759161822,1118,20.21744,82.12863,8
1759161852,1120,19.68872,82.51774,8
1759161882,1113,19.42168,82.7802,8
1759161912,1109,19.10658,83.10368,8
1759161942,1109,18.97574,83.2517,8
1759161972,1136,18.85557,83.43328,8
1759162002,1152,18.78881,83.48974,8
1759162032,1154,18.77813,83.40887,8
1759162062,1158,18.73007,83.15099,8
1759162092,1162,18.70604,83.08842,8
1759162122,1163,18.90097,83.20439,8
1759162152,1162,19.42435,83.46075,8
1759162182,1162,19.84894,83.38903,8
1759162212,1155,20.2575,83.36309,8
1759162242,1155,20.47646,83.16319,8
1759162272,1159,20.70344,83.00603,8
1759162302,1159,20.85031,83.03654,8
1759162332,1161,20.94644,83.24406,8
1759162362,1161,21.05592,83.22881,8
1759162392,1159,21.03456,83.12352,8
1759162422,1159,20.39635,82.2858,8
1759162452,1168,19.81956,82.3148,8
1759162482,1160,19.47509,82.78935,8
1759162512,1163,19.19471,82.99992,8
1759162542,1185,18.98909,83.17387,8
1759162572,1178,18.93835,83.23491,8
1759162602,1179,18.91966,83.17082,8
1759162632,1175,18.86625,82.92973,8
1759162662,1177,19.0692,83.0869,8
1759162692,1173,19.65133,83.41802,8
1759162722,1167,20.0412,83.32647,8
1759162752,1167,20.32158,83.2929,8
1759162782,1165,20.56726,83.26696,8
1759162812,1164,20.71145,83.42718,8
1759162842,1166,20.87701,83.41192,8
1759162872,1174,20.97849,83.37835,8
1759162902,1173,21.07996,83.34478,8
